,HomeTeam
823,Santa Clara
824,Tondela
825,Sp Lisbon
826,Pacos Ferreira
827,Vizela
828,Portimonense
829,Gil Vicente
830,Boavista
831,Arouca
832,Porto
833,Estoril
834,Sp Lisbon
835,Maritimo
836,Belenenses
837,Famalicao
838,Sp Braga
839,Moreirense
840,Besiktas
841,Karagumruk
842,Altay
843,Hatayspor
844,Buyuksehyr
845,Ad. Demirspor
846,Antalyaspor
847,Sivasspor
848,Yeni Malatyaspor
849,Giresunspor
850,Kayserispor
851,Kasimpasa
852,Rizespor
853,Alanyaspor
854,Gaziantep
855,Konyaspor
856,Fenerbahce
857,Goztep
858,Trabzonspor
859,Galatasaray
860,Antalyaspor
861,Ad. Demirspor
862,Buyuksehyr
863,Yeni Malatyaspor
864,Besiktas
865,Hatayspor
866,Kasimpasa
867,Sivasspor
868,Altay
869,Giresunspor
870,Karagumruk
871,Konyaspor
872,Besiktas
873,Kayserispor
874,Fenerbahce
875,Rizespor
876,Goztep
877,Trabzonspor
878,Alanyaspor
879,Gaziantep
880,Altay
881,Yeni Malatyaspor
882,Sivasspor
883,Kasimpasa
884,Ad. Demirspor
885,Antalyaspor
886,Giresunspor
887,Galatasaray
888,Buyuksehyr
889,Hatayspor
890,Karagumruk
891,Rizespor
892,Besiktas
893,Yeni Malatyaspor
894,Gaziantep
895,Goztep
896,Kayserispor
897,Konyaspor
898,Alanyaspor
899,Fenerbahce
900,Altay
901,Sivasspor
902,Antalyaspor
903,Ad. Demirspor
904,Giresunspor
905,Buyuksehyr
906,Hatayspor
907,Galatasaray
908,Kasimpasa
909,Trabzonspor
910,Antalyaspor
911,Karagumruk
912,Konyaspor
913,Goztep
914,Kayserispor
915,Besiktas
916,Yeni Malatyaspor
917,Fenerbahce
918,Gaziantep
919,Rizespor
920,Buyuksehyr
921,Giresunspor
922,Sivasspor
923,Ad. Demirspor
924,Kasimpasa
925,Altay
926,Galatasaray
927,Trabzonspor
928,Alanyaspor
929,Hatayspor
930,Yeni Malatyaspor
931,Rizespor
932,Gaziantep
933,Konyaspor
934,Goztep
935,Karagumruk
936,Antalyaspor
937,Sivasspor
938,Fenerbahce
939,Besiktas
940,Trabzonspor
941,Kasimpasa
942,Altay
943,Hatayspor
944,Konyaspor
945,Kayserispor
946,Alanyaspor
947,Galatasaray
948,Buyuksehyr
949,Giresunspor
